5-FU	C1=C(C(=O)NC(=O)N1)F
RABUSERTIB	CC1=CC(=C(C=C1Br)NC(=O)NC2=NC=C(N=C2)C)OCC3CNCCO3
RACECADOTRIL	CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC2=CC=CC=C2
RASAGILINE MESYLATE	CS(=O)(=O)O.C#CCNC1CCC2=CC=CC=C12
REBOXETINE MESYLATE	CCOC1=CC=CC=C1OC(C2CNCCO2)C3=CC=CC=C3.CS(=O)(=O)O
REGORAFENIB	CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F
REPAGLINIDE	CCOC1=C(C=CC(=C1)CC(=O)NC(CC(C)C)C2=CC=CC=C2N3CCCCC3)C(=O)O
RESMINOSTAT	CN(C)CC1=CC=C(C=C1)S(=O)(=O)N2C=CC(=C2)C=CC(=O)NO
RIFAXIMIN	CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C5=C2N6C=CC(=CC6=N5)C)O)C
RITODRINE HYDROCHLORIDE	CC(C(C1=CC=C(C=C1)O)O)NCCC2=CC=C(C=C2)O.Cl
RIVAROXABAN	C1COCC(=O)N1C2=CC=C(C=C2)N3CC(OC3=O)CNC(=O)C4=CC=C(S4)Cl
RIVASTIGMINE TARTRATE	CCN(C)C(=O)OC1=CC=CC(=C1)C(C)N(C)C.C(C(C(=O)O)O)(C(=O)O)O
RIZATRIPTAN BENZOATE	CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3.C1=CC=C(C=C1)C(=O)O
ROCILETINIB	CC(=O)N1CCN(CC1)C2=CC(=C(C=C2)NC3=NC=C(C(=N3)NC4=CC(=CC=C4)NC(=O)C=C)C(F)(F)F)OC
ROFLUMILAST	C1CC1COC2=C(C=CC(=C2)C(=O)NC3=C(C=NC=C3Cl)Cl)OC(F)F
ROXADUSTAT	CC1=NC(=C(C2=C1C=C(C=C2)OC3=CC=CC=C3)O)C(=O)NCC(=O)O
RUTAECARPINE	C1CN2C(=NC3=CC=CC=C3C2=O)C4=C1C5=CC=CC=C5N4
SARAFLOXACIN HYDROCHLORIDE	C1CN(CCN1)C2=C(C=C3C(=C2)N(C=C(C3=O)C(=O)O)C4=CC=C(C=C4)F)F.Cl
SB-505124	CC1=CC=CC(=N1)C2=C(N=C(N2)C(C)(C)C)C3=CC4=C(C=C3)OCO4
SB-705498	C1CN(CC1NC(=O)NC2=CC=CC=C2Br)C3=NC=C(C=C3)C(F)(F)F
SGI-1776	CN1CCC(CC1)CNC2=NN3C(=NC=C3C4=CC(=CC=C4)OC(F)(F)F)C=C2
SGX-523	CN1C=C(C=N1)C2=NN3C(=NN=C3SC4=CC5=C(C=C4)N=CC=C5)C=C2
SNS-032	CC(C)(C)C1=CN=C(O1)CSC2=CN=C(S2)NC(=O)C3CCNCC3
SNX-2112	CC1(CC2=C(C(=O)C1)C(=NN2C3=CC(=C(C=C3)C(=O)N)NC4CCC(CC4)O)C(F)(F)F)C
STF-118804	CC1=CC=C(C=C1)S(=O)(=O)CC2=C(OC(=N2)C3=CC=C(C=C3)C(=O)NCC4=CN=CC=C4)C
STF-62247	CC1=CC(=CC=C1)NC2=NC(=CS2)C3=CC=NC=C3
STIGMASTEROL	CCC(C=CC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C
SALIDROSIDE	C1=CC(=CC=C1CCOC2C(C(C(C(O2)CO)O)O)O)O
SAPITINIB	CNC(=O)CN1CCC(CC1)OC2=C(C=C3C(=C2)C(=NC=N3)NC4=C(C(=CC=C4)Cl)F)OC
SARACATINIB	CN1CCN(CC1)CCOC2=CC(=C3C(=C2)N=CN=C3NC4=C(C=CC5=C4OCO5)Cl)OC6CCOCC6
SCLAREOLIDE	CC1(CCCC2(C1CCC3(C2CC(=O)O3)C)C)C
SCOPINE	CN1C2CC(CC1C3C2O3)O
SECNIDAZOLE	CC1=NC=C(N1CC(C)O)[N+](=O)[O-]
SELINEXOR	C1=CN=C(C=N1)NNC(=O)C=CN2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F
SELUMETINIB	CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO
SEMAXANIB	CC1=CC(=C(N1)C=C2C3=CC=CC=C3NC2=O)C
SERDEMETAN	C1=CC=C2C(=C1)C(=CN2)CCNC3=CC=C(C=C3)NC4=CC=NC=C4
SERTRALINE HYDROCHLORIDE	CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl.Cl
SILMITASERTIB	C1=CC(=CC(=C1)Cl)NC2=C3C=CN=CC3=C4C=CC(=CC4=N2)C(=O)O
SILODOSIN	CC(CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F
SILYBIN	COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O
SONIDEGIB	CC1CN(CC(O1)C)C2=NC=C(C=C2)NC(=O)C3=CC=CC(=C3C)C4=CC=C(C=C4)OC(F)(F)F
SOPHOCARPINE	C1CC2CN3C(CC=CC3=O)C4C2N(C1)CCC4
SOTRASTAURIN	CN1CCN(CC1)C2=NC3=CC=CC=C3C(=N2)C4=C(C(=O)NC4=O)C5=CNC6=CC=CC=C65
STEMREGENIN 1	CC(C)N1C=NC2=C1N=C(N=C2NCCC3=CC=C(C=C3)O)C4=CSC5=CC=CC=C54
STREPTOMYCIN SULFATE	CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O.CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O.OS(=O)(=O)O.OS(=O)(=O)O.OS(=O)(=O)O
SYNEPHRINE	CNCC(C1=CC=C(C=C1)O)O
TAK-285	CC(C)(CC(=O)NCCN1C=CC2=C1C(=NC=N2)NC3=CC(=C(C=C3)OC4=CC=CC(=C4)C(F)(F)F)Cl)O
TAK-715	CCC1=NC(=C(S1)C2=CC(=NC=C2)NC(=O)C3=CC=CC=C3)C4=CC(=CC=C4)C
TAK-733	CN1C2=C(C(=C(C1=O)F)NC3=C(C=C(C=C3)I)F)C(=O)N(C=N2)CC(CO)O
TAK-901	CCS(=O)(=O)C1=CC=CC(=C1)C2=CC(=C(C3=C2C4=CC(=CN=C4N3)C)C)C(=O)NC5CCN(CC5)C
TGX-221	CC1=CN2C(=O)C=C(N=C2C(=C1)C(C)NC3=CC=CC=C3)N4CCOCC4
TOREMIFENE CITRATE	CN(C)CCOC1=CC=C(C=C1)C(=C(CCCl)C2=CC=CC=C2)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
TPCA-1	C1=CC(=CC=C1C2=CC(=C(S2)NC(=O)N)C(=O)N)F
TRIAMCINOLONE ACETONIDE	CC1(OC2CC3C4CCC5=CC(=O)C=CC5(C4(C(CC3(C2(O1)C(=O)CO)C)O)F)C)C
TW-37	CC(C)C1=CC=CC=C1CC2=C(C(=C(C(=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)C4=CC=CC=C4C(C)(C)C)O)O)O
TACEDINALINE	CC(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2N
TADALAFIL	CN1CC(=O)N2C(C1=O)CC3=C(C2C4=CC5=C(C=C4)OCO5)NC6=CC=CC=C36
TAMIBAROTENE	CC1(CCC(C2=C1C=CC(=C2)NC(=O)C3=CC=C(C=C3)C(=O)O)(C)C)C
TANDUTINIB	CC(C)OC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCCC5
TANESPIMYCIN	CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)C)OC)OC(=O)N)C)C)O)OC
TANSHINONE I	CC1=CC=CC2=C1C=CC3=C2C(=O)C(=O)C4=C3OC=C4C
TANSHINONE IIA	CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C
TARIQUIDAR	COC1=C(C=C2CN(CCC2=C1)CCC3=CC=C(C=C3)NC(=O)C4=CC(=C(C=C4NC(=O)C5=CC6=CC=CC=C6N=C5)OC)OC)OC
TAZEMETOSTAT	CCN(C1CCOCC1)C2=CC(=CC(=C2C)C(=O)NCC3=C(C=C(NC3=O)C)C)C4=CC=C(C=C4)CN5CCOCC5
TEBIPENEM PIVOXIL	CC1C2C(C(=O)N2C(=C1SC3CN(C3)C4=NCCS4)C(=O)OCOC(=O)C(C)(C)C)C(C)O
TELATINIB	CNC(=O)C1=NC=CC(=C1)COC2=NN=C(C3=C2OC=C3)NC4=CC=C(C=C4)Cl
TELBIVUDINE	CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O
TELMISARTAN	CCCC1=NC2=C(C=C(C=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C5=NC6=CC=CC=C6N5C)C
TEMSIROLIMUS	CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)OC(=O)C(C)(CO)CO)C)C)O)OC)C)C)C)OC
TENOFOVIR DISOPROXIL FUMARATE	CC(C)OC(=O)OCOP(=O)(COC(C)CN1C=NC2=C1N=CN=C2N)OCOC(=O)OC(C)C
TERIFLUNOMIDE	CC(=C(C#N)C(=O)NC1=CC=C(C=C1)C(F)(F)F)O
THIAZOVIVIN	C1=CC=C(C=C1)CNC(=O)C2=CSC(=N2)NC3=NC=NC=C3
TIDEGLUSIB	C1=CC=C(C=C1)CN2C(=O)N(SC2=O)C3=CC=CC4=CC=CC=C43
TIGECYCLINE	CC(C)(C)NCC(=O)NC1=C(C2=C(CC3CC4C(C(=O)C(=C(C4(C(=O)C3=C2O)O)O)C(=O)N)N(C)C)C(=C1)N(C)C)O
TIOXOLONE	C1=CC2=C(C=C1O)OC(=O)S2
TIPIFARNIB	CN1C=NC=C1C(C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N
TIVOZANIB	CC1=CC(=NO1)NC(=O)NC2=C(C=C(C=C2)OC3=C4C=C(C(=CC4=NC=C3)OC)OC)Cl
TOFACITINIB	CC1CCN(CC1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N
TOLCAPONE	CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-]
TOLTERODINE TARTRATE	CC1=CC(=C(C=C1)O)C(CCN(C(C)C)C(C)C)C2=CC=CC=C2.C(C(C(=O)O)O)(C(=O)O)O
TORASEMIDE	CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C
TORCETRAPIB	CCC1CC(C2=C(N1C(=O)OCC)C=CC(=C2)C(F)(F)F)N(CC3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F)C(=O)OC
TOSEDOSTAT	CC(C)CC(C(C(=O)NO)O)C(=O)NC(C1=CC=CC=C1)C(=O)OC2CCCC2
TOZASERTIB	CC1=CC(=NN1)NC2=NC(=NC(=C2)N3CCN(CC3)C)SC4=CC=C(C=C4)NC(=O)C5CC5
TRAMETINIB	CC1=C2C(=C(N(C1=O)C)NC3=C(C=C(C=C3)I)F)C(=O)N(C(=O)N2C4=CC(=CC=C4)NC(=O)C)C5CC5
TRICIRIBINE	CN1C2=NC=NC3=C2C(=CN3C4C(C(C(O4)CO)O)O)C(=N1)N
TRIFLURIDINE	C1C(C(OC1N2C=C(C(=O)NC2=O)C(F)(F)F)CO)O
UNC2250	CCCCNC1=NC=C(C(=N1)NC2CCC(CC2)O)C3=NC=C(C=C3)CN4CCOCC4
URSOLIC ACID	CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O
VE-821	CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C(C(=N2)C(=O)NC3=CC=CC=C3)N
VX-702	C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F
VX-765	CCOC1C(CC(=O)O1)NC(=O)C2CCCN2C(=O)C(C(C)(C)C)NC(=O)C3=CC(=C(C=C3)N)Cl
VALDECOXIB	CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N
VARESPLADIB	CCC1=C(C2=C(N1CC3=CC=CC=C3)C=CC=C2OCC(=O)O)C(=O)C(=O)N
VELIPARIB	CC1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N
VIDARABINE	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O
VOLASERTIB	CCC1C(=O)N(C2=CN=C(N=C2N1C(C)C)NC3=C(C=C(C=C3)C(=O)NC4CCC(CC4)N5CCN(CC5)CC6CC6)OC)C
VORICONAZOLE	CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O
VORINOSTAT	C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO
WAY-600	C1CN(CCC1N2C3=C(C=N2)C(=NC(=N3)C4=CC5=C(C=C4)NC=C5)N6CCOCC6)CC7=CN=CC=C7
WHI-P154	COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)O)Br)OC
WYE-354	COC(=O)NC1=CC=C(C=C1)C2=NC3=C(C=NN3C4CCN(CC4)C(=O)OC)C(=N2)N5CCOCC5
WNT-C59	CC1=NC=CC(=C1)C2=CC=C(C=C2)CC(=O)NC3=CC=C(C=C3)C4=CN=CC=C4
ZEBULARINE	C1=CN(C(=O)N=C1)C2C(C(C(O2)CO)O)O
ZIBOTENTAN	CC1=CN=C(C(=N1)OC)NS(=O)(=O)C2=C(N=CC=C2)C3=CC=C(C=C3)C4=NN=CO4
ZIPRASIDONE HYDROCHLORIDE	C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54.O.Cl
ACEMETACIN	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)OCC(=O)O
ADENOSINE	C1=NC2=C(C(=N1)N)N=CN2C3C(C(C(O3)CO)O)O
ALFACALCIDOL	CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
ALPELISIB	CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F
ALPROSTADIL	CCCCCC(C=CC1C(CC(=O)C1CCCCCCC(=O)O)O)O
AMINOGLUTETHIMIDE	CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N
AMISULPRIDE	CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC
AMOROLFINE HYDROCHLORIDE	CCC(C)(C)C1=CC=C(C=C1)CC(C)CN2CC(OC(C2)C)C.Cl
AMPHOTERICIN B	CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O
AMYGDALIN	C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O
ANIRACETAM	COC1=CC=C(C=C1)C(=O)N2CCCC2=O
APIGENIN	C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O
ARBUTIN	C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O
ARECOLINE	CN1CCC=C(C1)C(=O)OC
ARTEMISININ	CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C
ASPIRIN	CC(=O)OC1=CC=CC=C1C(=O)O
AZATHIOPRINE	CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
AZTREONAM	CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N
BAICALEIN	C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O)O)O
BATIMASTAT	CC(C)CC(C(CSC1=CC=CS1)C(=O)NO)C(=O)NC(CC2=CC=CC=C2)C(=O)NC
BERGENIN	COC1=C(C=C2C(=C1O)C3C(C(C(C(O3)CO)O)O)OC2=O)O
BETA-LAPACHONE	CC1(CCC2=C(O1)C3=CC=CC=C3C(=O)C2=O)C
BETA-CAROTENE	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CCCC2(C)C)C)C)C
BETAMETHASONE	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
BETAXOLOL	CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
BETULINIC ACID	CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C(=O)O
BICALUTAMIDE	CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
BIOCHANIN A	COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O
BUDESONIDE	CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C
BUFEXAMAC	CCCCOC1=CC=C(C=C1)CC(=O)NO
CAFFEIC ACID	C1=CC(=C(C=C1C=CC(=O)O)O)O
CALCITRIOL	CC(CCCC(C)(C)O)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C
CAMPTOTHECIN	CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O
CAPMATINIB	CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F
CARBIDOPA	CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN
CARMOFUR	CCCCCCNC(=O)N1C=C(C(=O)NC1=O)F
CARVEDILOL	COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
CEFDINIR	C=CC1=C(N2C(C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O
CEFDITOREN PIVOXIL	CC1=C(SC=N1)C=CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)OCOC(=O)C(C)(C)C
CEPHALEXIN	CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O
CERITINIB	CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl
CHENODEOXYCHOLIC ACID	CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
CHLORAMPHENICOL	C1=CC(=CC=C1C(C(CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-]
CHLORMEZANONE	CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl
CHLOROTHIAZIDE	C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
CHLOROXINE	C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1
CILOSTAZOL	C1CCC(CC1)N2C(=NN=N2)CCCCOC3=CC4=C(C=C3)NC(=O)CC4
CLARITHROMYCIN	CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O
CLINDAMYCIN	CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl
CLINOFIBRATE	CCC(C)(C(=O)O)OC1=CC=C(C=C1)C2(CCCCC2)C3=CC=C(C=C3)OC(C)(CC)C(=O)O
CLOTRIMAZOLE	C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
CURCUMIN	COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O
CYCLOSPORIN A	CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
CYTIDINE	C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
DAIDZEIN	C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O
DAPHNETIN	C1=CC(=C(C2=C1C=CC(=O)O2)O)O
DIETHYLSTILBESTROL	CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
DIOSMIN	CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O
DOMPERIDONE	C1CN(CCC1N2C3=C(C=C(C=C3)Cl)NC2=O)CCCN4C5=CC=CC=C5NC4=O
DOXIFLURIDINE	CC1C(C(C(O1)N2C=C(C(=O)NC2=O)F)O)O
DYDROGESTERONE	CC(=O)C1CCC2C1(CCC3C2C=CC4=CC(=O)CCC34C)C
DYPHYLLINE	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
EDARAVONE	CC1=NN(C(=O)C1)C2=CC=CC=C2
EMODIN	CC1=CC(=C2C(=C1)C(=O)C3=CC(=CC(=C3C2=O)O)O)O
ENOXOLONE	CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
ERYTHROMYCIN	CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
ESTRADIOL	CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O
ESTRIOL	CC12CCC3C(C1CC(C2O)O)CCC4=C3C=CC(=C4)O
ESTRONE	CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O
ETHIONAMIDE	CCC1=NC=CC(=C1)C(=S)N
ETODOLAC	CCC1=CC=CC2=C1NC3=C2CCOC3(CC)CC(=O)O
FAMCICLOVIR	CC(=O)OCC(CCN1C=NC2=CN=C(N=C21)N)COC(=O)C
FAMOTIDINE	C1=C(N=C(S1)N=C(N)N)CSCCC(=NS(=O)(=O)N)N
FENBENDAZOLE	COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3
FENOFIBRATE	CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
FINASTERIDE	CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C
FLOXURIDINE	C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
FLUCONAZOLE	C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O
FLUDARABINE PHOSPHATE	C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(N=C2N)F
FLUOCINONIDE	CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C
FLURBIPROFEN	CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
FORMESTANE	CC12CCC(=O)C(=C1CCC3C2CCC4(C3CCC4=O)C)O
FORMONONETIN	COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O
FUROSEMIDE	C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl
GEMFIBROZIL	CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O
GENISTEIN	C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O
GLICLAZIDE	CC1=CC=C(C=C1)S(=O)(=O)NC(=O)NN2CC3CCCC3C2
GLIMEPIRIDE	CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C
GLIPIZIDE	CC1=NC=C(N=C1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
HALOPERIDOL	C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
HESPERADIN	CCS(=O)(=O)NC1=CC2=C(C=C1)NC(=O)C2=C(C3=CC=CC=C3)NC4=CC=C(C=C4)CN5CCCCC5
HESPERETIN	COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O
HEXESTROL	CCC(C1=CC=C(C=C1)O)C(CC)C2=CC=C(C=C2)O
HYDROCHLOROTHIAZIDE	C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
HYDROCORTISONE	CC12CCC(=O)C=C1CCC3C2C(CC4(C3CCC4(C(=O)CO)O)C)O
IDEBENONE	CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO
IDOXURIDINE	C1C(C(OC1N2C=C(C(=O)NC2=O)I)CO)O
INDAPAMIDE	CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N
INDOMETHACIN	CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
IPRIFLAVONE	CC(C)OC1=CC2=C(C=C1)C(=O)C(=CO2)C3=CC=CC=C3
ISOLIQUIRITIGENIN	C1=CC(=CC=C1C=CC(=O)C2=C(C=C(C=C2)O)O)O
ISRADIPINE	CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC=CC3=NON=C32)C(=O)OC
KAEMPFEROL	C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
KETOCONAZOLE	CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3COC(O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl
KETOPROFEN	CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O
KETOROLAC	C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O
KINETIN	C1=COC(=C1)CNC2=NC=NC3=C2NC=N3
LAFUTIDINE	C1CCN(CC1)CC2=CC(=NC=C2)OCC=CCNC(=O)CS(=O)CC3=CC=CO3
LAMIVUDINE	C1C(OC(S1)CO)N2C=CC(=NC2=O)N
LINEZOLID	CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F
LONIDAMINE	C1=CC=C2C(=C1)C(=NN2CC3=C(C=C(C=C3)Cl)Cl)C(=O)O
LORATADINE	CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1
